Group,ParamSet,AvgMeanDist,AvgStdDist,AvgRuntime
Large-5,Balanced,2059.95,91.58,0.317
Large-5,Focus exploitation,2392.97,95.12,0.072
Large-5,High exploration,1652.22,42.9,2.956
Large-6,Balanced,3695.93,0.0,0.514
Large-6,Focus exploitation,3695.93,0.0,0.103
Large-6,High exploration,3695.93,0.0,4.123
Medium-3,Balanced,935.06,16.81,0.144
Medium-3,Focus exploitation,984.67,33.46,0.03
Medium-3,High exploration,912.95,5.94,1.181
Medium-4,Balanced,1677.23,31.27,0.237
Medium-4,Focus exploitation,1720.77,36.38,0.048
Medium-4,High exploration,1619.4,13.22,1.911
Small-1,Balanced,357.01,17.52,0.079
Small-1,Focus exploitation,401.12,33.61,0.017
Small-1,High exploration,337.96,9.42,0.643
Small-2,Balanced,766.18,42.23,0.13
Small-2,Focus exploitation,853.53,57.01,0.026
Small-2,High exploration,702.39,10.6,1.054
